619,827,549,706
618,828,550,705
619,828,548,708
618,828,549,703
617,822,547,750
619,822,550,739
618,821,547,742
618,821,548,745
619,822,547,747
618,822,548,752
619,823,550,752
618,822,550,749
617,822,549,748
617,823,542,741
619,822,543,735
622,825,545,737
621,825,544,735
618,822,543,714
618,824,540,717
618,823,536,728
620,823,531,726
621,824,539,725
620,824,539,726
624,831,537,739
623,832,537,727
619,831,543,727
627,830,542,724
629,831,541,710
630,830,540,726
631,831,538,724
627,831,538,719
622,830,538,734
624,830,538,731
622,831,538,733
625,830,538,728
627,831,539,729
627,831,539,727
626,830,538,729
626,830,538,719
626,830,536,721
626,831,536,722
626,829,538,720
625,832,535,719
625,831,539,720
624,828,540,718
623,831,540,714
621,831,540,713
622,830,538,712
622,829,539,708
621,828,540,704
620,830,539,700
621,831,539,699
619,830,539,695
616,829,540,691
612,829,539,694
610,829,540,695
607,831,540,694
609,828,539,672
613,829,541,691
624,829,541,691
623,828,542,693
623,828,542,691
623,828,538,691
623,829,539,689
624,827,540,691
623,826,540,691
622,827,540,689
624,828,543,690
623,826,543,691
624,828,544,692
624,828,541,693
624,826,544,691
622,827,544,690
622,825,544,697
621,827,545,693
622,827,545,690
622,825,544,693
622,828,544,691
621,826,544,691
622,828,544,692
622,826,543,693
622,826,543,696
622,826,544,697
621,826,544,696
621,826,543,695
622,826,544,696
621,828,545,695
621,826,546,692
622,826,544,690
621,827,544,691
621,826,543,691
622,828,544,700
620,826,545,690
621,826,544,695
621,826,544,693
620,828,542,694
621,827,543,701
620,826,542,698
620,827,543,698
621,827,541,700
621,827,542,706
621,826,542,701
620,825,542,695
620,826,542,695
621,828,542,699
623,828,542,700
620,825,541,698
620,827,542,699
621,828,541,706
622,828,541,701
620,827,541,683
621,826,542,695
621,826,540,693
620,826,539,696
620,826,540,685
619,827,539,687
622,830,538,686
621,826,538,696
620,829,539,681
619,827,539,685
620,827,536,708
622,829,537,728
620,827,537,729
621,829,537,699
623,832,545,622
618,825,534,661
620,826,535,633
621,826,535,705
621,827,535,741
619,827,535,742
620,826,534,743
620,826,534,739
620,825,532,736
620,826,532,743
620,830,536,735
619,827,532,743
619,824,532,743
619,824,533,741
619,825,532,738
620,824,533,744
623,831,537,783
621,826,533,773
619,829,534,700
619,831,533,776
613,826,532,759
612,826,534,757
609,826,532,764
603,824,534,760
609,825,534,751
616,826,533,747
616,825,532,749
615,826,542,753
614,824,531,750
605,825,529,751
604,824,531,748
602,824,531,746
587,825,529,747
596,823,533,742
603,822,532,734
588,825,538,717
605,824,538,726
608,825,540,727
607,824,541,759
608,829,541,755
604,829,540,756
607,829,541,757
607,829,541,741
608,830,542,729
607,826,544,741
610,828,546,657
610,826,549,745
609,825,550,760
609,828,551,754
611,830,551,748
610,827,552,755
610,829,550,752
611,831,551,748
609,831,551,753
610,830,550,755
611,830,551,750
609,828,550,750
609,829,552,738
609,829,551,744
609,828,551,748
610,828,551,736
607,826,550,739
606,820,551,747
605,819,550,744
602,820,550,707
603,821,550,675
610,820,553,674
611,823,552,726
606,821,550,666
598,823,550,666
595,820,549,694
592,821,549,684
588,822,548,705
585,824,544,702
586,819,545,710
598,819,544,706
588,819,543,712
591,829,549,763
596,836,557,765
592,835,562,771
595,836,562,770
620,831,574,753
623,833,568,788
626,830,570,752
629,834,588,773
638,840,593,764
638,841,590,777
640,846,596,760
632,842,582,756
633,846,590,743
664,848,593,750
664,847,594,753
656,847,594,751
660,848,598,752
663,849,596,754
660,848,589,729
655,846,584,732
662,848,581,739
656,846,583,738
652,846,584,736
651,845,577,729
633,836,563,711
632,838,569,699
625,837,567,699
625,840,566,701
626,840,565,705
627,840,563,709
640,841,565,724
642,840,562,722
642,841,564,722
644,843,560,687
647,843,564,684
647,841,563,721
657,847,577,737
646,841,562,725
648,840,561,733
647,839,561,745
648,839,559,739
647,838,561,738
646,839,560,731
645,840,562,715
644,840,561,716
642,839,562,699
639,840,560,698
639,838,560,698
638,838,557,698
634,837,553,685
633,837,553,687
632,836,556,690
633,837,555,712
631,835,556,714
634,838,558,715
629,832,552,704
627,835,549,701
625,832,549,694
625,831,549,702
623,830,549,708
627,834,550,712
627,835,550,720
626,835,551,713
626,836,549,713
626,834,549,712
626,834,550,713
627,835,548,706
626,835,549,704
627,834,550,714
627,835,549,714
623,834,542,696
624,832,542,695
624,833,543,683
624,832,545,705
629,833,547,694
630,835,551,698
631,835,551,710
632,835,551,705
634,838,557,706
